"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000002745",1088.56140313834,-1.0902630779674,0.328428785849076,-3.31963312883424,0.000901358161424114,0.0106501910260128,"WNT16"
"ENSG00000005073",413.664169230577,-9.72532620798683,1.9419262228044,-5.0080822297884,5.49750485405595e-07,2.41898505440987e-05,"HOXA11"
"ENSG00000005844",966.718817656714,-2.27592908477495,0.279064980807586,-8.15555243867805,3.47587373084434e-16,2.1574822202111e-14,"ITGAL"
"ENSG00000006638",1380.26272372024,-0.567972601352673,0.171557931275027,-3.31067527529315,0.000930711440828372,0.0109570802515279,"TBXA2R"
"ENSG00000006704",1380.61425710629,-0.573330054079086,0.0861019261312902,-6.65873668383282,2.76191240231224e-11,1.48385396892551e-09,"GTF2IRD1"
"ENSG00000007541",1691.79563280455,-0.198704339820584,0.0693771786665936,-2.8641167548121,0.00418173844069464,0.0448012690159327,"PIGQ"
"ENSG00000007866",1116.96744237123,-0.68573546496453,0.179178079368335,-3.82711695192841,0.000129652922430807,0.00164808919654638,"TEAD3"
"ENSG00000008394",1648.35946531764,-0.272875046375468,0.0674676962326675,-4.04452888734243,5.24284439406852e-05,0.000682201157485107,"MGST1"
"ENSG00000010810",169.491582205423,-3.21317560870698,1.08992348232067,-2.94807448488538,0.00319760010209587,0.0349115223721717,"FYN"
"ENSG00000011009",1272.02494462674,-0.336340051547646,0.102698851944938,-3.2750127696459,0.00105657197562497,0.0123491082711968,"LYPLA2"
"ENSG00000011028",1128.00522106052,0.738598106927652,0.165837595417004,4.45374346552979,8.43859188055766e-06,0.000144811200547946,"MRC2"
"ENSG00000011485",1393.96181328134,-0.278796520119231,0.0833718003554829,-3.34401463001267,0.000825753827075778,0.00980851644840459,"PPP5C"
"ENSG00000012223",1018.21119643402,-1.74244369426115,0.305023808427226,-5.71248422621696,1.11338739448279e-08,5.50522889139772e-07,"LTF"
"ENSG00000013297",636.164777936987,2.41752430362821,0.502212181554088,4.81375082569128,1.48123480222691e-06,5.49073225989399e-05,"CLDN11"
"ENSG00000013725",1457.23106996132,0.355022109065746,0.0871381258030377,4.07424540973281,4.61637824450882e-05,0.00060310614656093,"CD6"
"ENSG00000020129",1334.08294517466,-0.37109661757874,0.105705101432743,-3.51067841143747,0.000446964761326842,0.00544438537878412,"NCDN"
