"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000002745",1088.56140313834,-1.0902630779674,0.328428785849076,-3.31963312883424,0.000901358161424114,0.0106501910260128,"WNT16"
"ENSG00000005073",413.664169230577,-9.72532620798683,1.9419262228044,-5.0080822297884,5.49750485405595e-07,2.41898505440987e-05,"HOXA11"
"ENSG00000005844",966.718817656714,-2.27592908477495,0.279064980807586,-8.15555243867805,3.47587373084434e-16,2.1574822202111e-14,"ITGAL"
"ENSG00000010810",169.491582205423,-3.21317560870698,1.08992348232067,-2.94807448488538,0.00319760010209587,0.0349115223721717,"FYN"
"ENSG00000012223",1018.21119643402,-1.74244369426115,0.305023808427226,-5.71248422621696,1.11338739448279e-08,5.50522889139772e-07,"LTF"
"ENSG00000023445",917.887673760873,-2.61516474115194,0.340078168988399,-7.689893029391,1.47258094119587e-14,8.80319749948916e-13,"BIRC3"
"ENSG00000026297",1035.50075955503,-2.24780090426023,0.48112253554147,-4.67199255534869,2.98291773923894e-06,8.44860768998228e-05,"RNASET2"
"ENSG00000029559",598.142038771436,-9.85245450488017,0.943048249001083,-10.4474553823904,1.50509304050122e-25,4.93349205286989e-23,"IBSP"
"ENSG00000054179",979.188982468857,-1.22264830029807,0.279787575557047,-4.36991634765706,1.24294142177951e-05,0.000184813099376012,"ENTPD2"
"ENSG00000062716",390.181982265131,-2.5269176944768,0.86717085300973,-2.91397904542861,0.00356853858973069,0.0387295298654067,"VMP1"
"ENSG00000065600",720.241841005346,-2.5929151564092,0.840151059234481,-3.08624875004238,0.00202699170807801,0.0228579161576188,"PACC1"
"ENSG00000068831",889.66945440083,-2.31683487726476,0.626391998815896,-3.69869807028891,0.000216708203076285,0.00271098988350964,"RASGRP2"
"ENSG00000072182",308.585353314314,-9.30130496771782,2.00995692118789,-4.62761408947051,3.69902465704505e-06,9.33491750172795e-05,"ASIC4"
"ENSG00000072682",1069.36552866396,-1.109359271611,0.213950715816452,-5.1851159617653,2.15880499421135e-07,1.00766108953804e-05,"P4HA2"
"ENSG00000072818",1117.16463546634,-1.72133036101713,0.203433367654556,-8.46139638183677,2.64194749337044e-17,1.69392382910101e-15,"ACAP1"
"ENSG00000079950",969.372509206884,-3.23039166280916,0.518728086168435,-6.22752410934662,4.73863838267031e-10,2.41678841849023e-08,"STX7"
