"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000013297",636.164777936987,2.41752430362821,0.502212181554088,4.81375082569128,1.48123480222691e-06,5.49073225989399e-05,"CLDN11"
"ENSG00000036473",622.540997372691,9.84900321955178,0.935814130223511,10.5245292857455,6.65934568271663e-26,2.4591530582518e-23,"OTC"
"ENSG00000057657",747.954001427238,2.60547415152299,0.474387192329953,5.49229446673339,3.9674515154513e-08,1.93226148681571e-06,"PRDM1"
"ENSG00000064601",896.072197543106,3.40133114890603,0.92388775493152,3.68154154089653,0.000231828006858867,0.00289269394529244,"CTSA"
"ENSG00000064835",249.044564433538,7.93351546584026,1.83756423899363,4.31740850060577,1.57871818755167e-05,0.00022278196740547,"POU1F1"
"ENSG00000066032",346.61020535131,8.68808709199515,1.92143942079571,4.52165548284484,6.1357865870233e-06,0.000118699802455723,"CTNNA2"
"ENSG00000066813",695.357533950594,9.68746837706552,0.869886703667535,11.1364713775048,8.33569427025983e-29,8.38542099814794e-26,"ACSM2B"
"ENSG00000067182",975.478914350147,2.55958052154353,0.271330837562513,9.43343021581106,3.96892467345473e-21,4.8043750829334e-19,"TNFRSF1A"
"ENSG00000068323",804.920908812785,5.10599817184207,0.360916138038017,14.147325746083,1.93995335073963e-45,2.82971295505637e-41,"TFE3"
"ENSG00000069974",789.448034463948,2.76697160856925,0.725351568243353,3.81466275074066,0.000136369039669731,0.00172969304099351,"RAB27A"
"ENSG00000074317",288.167297951807,9.14758747981569,2.02994574657873,4.50632116411635,6.59612279643712e-06,0.000124035809257454,"SNCB"
"ENSG00000075891",276.003206211204,9.08544610320559,1.99704053729598,4.54945502283464,5.37850280908438e-06,0.000109353623701136,"PAX2"
"ENSG00000076706",704.1307927854,2.98604671376181,0.909835022328087,3.28196501616427,0.00103086393788081,0.0120631342397902,"MCAM"
"ENSG00000082556",447.524936280219,9.35379345417258,1.92554107075824,4.85774808765271,1.18728328938056e-06,4.67430707167329e-05,"OPRK1"
"ENSG00000084453",153.003810780523,7.50377917689614,1.92524262388813,3.89757586072028,9.71603913473487e-05,0.00124427572290439,"SLCO1A2"
"ENSG00000086696",325.493704359859,8.59718170448255,1.92154097633396,4.4741079219059,7.67309819265183e-06,0.000134281519840571,"HSD17B2"
"ENSG00000090530",891.167416624981,2.52353991541172,0.877991101927181,2.87422037634844,0.0040502624195525,0.0435526375103594,"P3H2"
"ENSG00000097007",782.851346541783,2.28400506169161,0.665383180856376,3.43261616374493,0.00059778773850931,0.00722421776948306,"ABL1"
"ENSG00000099251",237.51101176635,8.14125824449695,1.90689626532416,4.26937657414364,1.96020083054062e-05,0.000269740277496989,NA
"ENSG00000100342",570.539098832001,3.61853168538883,1.08009620954293,3.35019385626777,0.000807550219118127,0.00960793741530714,"APOL1"
"ENSG00000100647",665.496410816069,2.81549945938742,0.79326051613281,3.54927467348702,0.000386293910111657,0.0047290609482532,"SUSD6"
"ENSG00000100968",914.491062439066,2.06608313179548,0.224661754417946,9.19641679621125,3.70084941370131e-20,3.57499602469895e-18,"NFATC4"
"ENSG00000100991",614.219359307262,3.70242815863937,1.11409669488853,3.3232556703795,0.000889733267511496,0.0105170942516665,"TRPC4AP"
"ENSG00000101746",570.440250914745,8.72148283130262,0.786534410420992,11.0884949415429,1.42667869823537e-28,1.30064055198813e-25,"NOL4"
"ENSG00000102230",278.878608810381,8.35757269073301,1.85487694365438,4.50572892143851,6.6145485593768e-06,0.000124035809257454,"PCYT1B"
"ENSG00000102239",487.144149294738,9.49337696537314,1.03691368514179,9.15541679255104,5.41483754754885e-20,4.93647049295758e-18,"BRS3"
"ENSG00000102265",930.348328764206,2.76331363122988,0.281835820054932,9.80469278422906,1.07473539923333e-22,1.98438327859709e-20,"TIMP1"
"ENSG00000102290",409.251594073199,9.65463885671375,1.92511334864969,5.0151015073921,5.30054742980375e-07,2.33937776353502e-05,"PCDH11X"
"ENSG00000102401",1140.48156583569,1.1276264543235,0.117952714949235,9.55998727802759,1.1777118066269e-21,1.67597007486471e-19,"ARMCX3"
"ENSG00000104938",151.440659561937,8.21730186398903,1.9317826276839,4.25374042929514,2.10228984200586e-05,0.000285190796470152,"CLEC4M"
"ENSG00000105143",238.955554900963,8.44678747059488,1.89117105052471,4.46643230301738,7.95348140777813e-06,0.000137619758664953,"SLC1A6"
"ENSG00000105467",276.356600605109,8.68080338149197,1.88409154376744,4.60742123184407,4.07693565571023e-06,9.69094087378897e-05,"SYNGR4"
"ENSG00000105559",748.247804344375,2.80559212731799,0.711775677289575,3.94168024679013,8.09127964449376e-05,0.00104307070733017,"PLEKHA4"
"ENSG00000107281",800.037900170466,2.35672624431207,0.668608181167235,3.5248241207545,0.000423764045700854,0.0051725809645318,"NPDC1"
"ENSG00000108849",309.144991450482,9.24908391104867,2.10441635412173,4.39508269973921,1.10730589561764e-05,0.000169393995243069,"PPY"
"ENSG00000109511",307.218389688604,8.83390230066571,1.89201943074747,4.66903360351629,3.02619882324966e-06,8.4789037975053e-05,"ANXA10"
"ENSG00000109851",248.407399688625,8.93297398355011,2.02937044096384,4.40184492847319,1.07334262597429e-05,0.000166202889742824,"DBX1"
"ENSG00000111530",791.351570253299,2.40161700750635,0.809087807674051,2.96830206156544,0.00299449898201229,0.0328910085851824,"CAND1"
