GeneID	GSM7020412	GSM7020417	GSM7020416	GSM7020415	GSM7020414	GSM7020413
ENSG00000000003	713	385	451	493	381	456
ENSG00000000005	1	0	4	0	1	1
ENSG00000000419	373	313	360	350	335	317
ENSG00000000457	216	210	236	164	152	118
ENSG00000000460	96	67	43	50	30	45
ENSG00000000938	303	357	358	345	437	351
ENSG00000000971	361	503	293	273	277	309
ENSG00000001036	576	490	503	633	506	563
ENSG00000001084	403	365	308	354	391	450
ENSG00000001167	651	375	399	356	273	357
ENSG00000001460	120	153	154	128	118	189
ENSG00000001461	1224	1213	973	1424	894	1534
ENSG00000001497	835	704	600	502	488	528
ENSG00000001561	473	234	325	251	215	281
ENSG00000001617	551	1410	445	1264	367	901
ENSG00000001626	21	7	8	10	3	13
ENSG00000001629	795	522	599	582	571	460
ENSG00000001630	50	15	10	13	8	26
ENSG00000001631	337	296	346	308	298	172
ENSG00000002016	447	477	443	364	251	240
ENSG00000002330	194	157	176	143	263	235
ENSG00000002549	911	684	646	1015	1166	862
ENSG00000002586	0	0	0	0	0	0
ENSG00000002587	99	111	181	86	182	111
ENSG00000002726	43	41	62	16	43	73
ENSG00000002745	23	7	25	7	14	5
ENSG00000002746	29	0	11	4	22	10
ENSG00000002822	14	18	13	16	31	14
ENSG00000002834	1733	1602	1186	1527	1220	1579
ENSG00000002919	429	256	382	311	474	376
ENSG00000002933	265	263	314	347	476	328
ENSG00000003056	565	244	288	300	266	306
ENSG00000003096	26	38	26	16	18	19
ENSG00000003137	195	118	116	134	255	59
ENSG00000003147	180	272	286	246	249	238
ENSG00000003249	161	136	148	144	129	255
ENSG00000003393	502	425	321	352	293	371
ENSG00000003400	333	544	317	497	307	284
ENSG00000003402	2827	2510	2025	2238	1759	2022
ENSG00000003436	478	370	574	276	448	272
ENSG00000003509	236	268	255	230	194	199
ENSG00000003756	2062	2179	1882	1654	1211	1288
ENSG00000003987	51	57	60	79	29	49
ENSG00000003989	462	374	288	531	350	457
ENSG00000004059	513	552	550	556	606	627
ENSG00000004139	246	150	163	136	90	72
ENSG00000004142	692	612	663	621	730	802
ENSG00000004399	1653	2684	934	2370	1068	2047
ENSG00000004455	1285	1111	1194	1047	1004	1053
ENSG00000004468	381	272	425	465	462	74
ENSG00000004478	779	540	660	481	619	544
ENSG00000004487	1252	1046	867	896	706	798
ENSG00000004534	2287	2721	2391	2316	1858	1761
ENSG00000004660	218	323	168	511	283	382
ENSG00000004700	328	174	147	166	135	183
ENSG00000004766	398	286	322	265	296	220
ENSG00000004776	164	217	194	94	151	216
ENSG00000004777	687	600	514	414	243	228
ENSG00000004779	233	254	272	267	340	339
ENSG00000004799	1799	2283	1610	2269	438	1642
ENSG00000004809	2	1	6	1	2	7
ENSG00000004838	50	86	115	48	54	41
ENSG00000004846	0	0	0	0	0	2
ENSG00000004848	4	18	4	11	9	3
ENSG00000004864	330	292	236	291	217	393
ENSG00000004866	330	207	314	225	277	261
ENSG00000004897	898	911	933	857	843	767
ENSG00000004939	5	2	1	0	4	3
ENSG00000004948	6	3	2	5	6	4
ENSG00000004961	169	106	160	280	325	216
ENSG00000004975	768	707	582	561	411	589
ENSG00000005001	251	456	173	538	109	486
ENSG00000005007	1948	1697	1344	1407	1178	1538
ENSG00000005020	417	232	301	334	549	392
ENSG00000005022	573	430	510	606	735	662
ENSG00000005059	302	258	318	311	386	264
ENSG00000005073	0	2	0	1	0	8
ENSG00000005075	93	119	128	113	139	133
ENSG00000005100	303	265	286	258	229	208
ENSG00000005102	139	131	113	80	126	113
ENSG00000005108	273	86	104	72	79	139
ENSG00000005156	364	331	259	251	209	257
ENSG00000005175	350	269	250	275	295	237
ENSG00000005187	70	44	31	38	36	45
ENSG00000005189	36	39	31	26	26	41
ENSG00000005194	313	266	268	279	319	303
ENSG00000005206	1279	1398	1336	1363	997	895
ENSG00000005238	343	411	282	391	252	367
ENSG00000005243	247	226	251	167	271	262
ENSG00000005249	127	131	183	134	199	228
ENSG00000005302	865	681	706	697	684	515
ENSG00000005339	2119	1250	1191	1118	874	1023
ENSG00000005379	1487	898	1204	717	635	396
ENSG00000005381	6	3	0	3	7	0
ENSG00000005421	2	5	3	3	3	2
ENSG00000005436	262	214	292	229	277	211
ENSG00000005448	197	260	232	214	175	189
ENSG00000005469	613	463	446	380	367	591
ENSG00000005471	106	46	61	28	54	25
ENSG00000005483	1556	1496	1629	1416	1549	1203
ENSG00000005486	952	981	966	1345	942	1473
ENSG00000005513	104	95	106	94	97	166
ENSG00000005700	613	417	502	487	477	446
ENSG00000005801	435	384	374	347	342	247
ENSG00000005810	1286	800	935	807	1136	724
ENSG00000005812	1055	541	602	557	561	557
ENSG00000005844	1449	691	1393	978	1229	552
ENSG00000005882	305	256	203	293	186	332
ENSG00000005884	2761	3743	1804	3448	1650	5821
ENSG00000005889	818	329	383	504	465	396
ENSG00000005893	1785	1215	1390	1482	1245	1998
ENSG00000005961	152	118	106	74	51	31
ENSG00000005981	10	7	8	1	3	5
ENSG00000006007	504	366	369	434	413	540
ENSG00000006015	544	637	689	648	685	603
ENSG00000006016	66	491	96	465	147	342
ENSG00000006025	556	617	476	509	371	476
ENSG00000006042	643	723	457	790	449	1013
ENSG00000006047	82	107	80	52	27	37
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	448	362	333	363	401	255
ENSG00000006071	99	21	54	14	70	1
ENSG00000006116	0	1	0	0	0	0
ENSG00000006118	143	191	84	290	129	221
ENSG00000006125	2083	1252	1206	1302	1275	1796
ENSG00000006128	2	39	5	1	2	2
ENSG00000006194	583	428	453	358	413	398
ENSG00000006210	820	858	297	906	515	1029
ENSG00000006282	1614	1580	1512	1236	1103	1221
ENSG00000006283	44	12	22	7	9	32
ENSG00000006327	49	849	62	1237	149	1093
ENSG00000006377	9	15	2	6	6	3
ENSG00000006432	294	241	222	226	115	145
ENSG00000006451	374	313	328	340	420	495
ENSG00000006453	409	408	389	325	302	396
ENSG00000006459	532	331	349	398	315	331
ENSG00000006468	269	245	141	325	96	483
ENSG00000006530	99	79	78	94	68	60
ENSG00000006534	167	334	108	425	196	478
ENSG00000006555	265	218	190	216	136	180
ENSG00000006576	488	311	418	397	365	320
ENSG00000006606	1	5	1	14	4	5
ENSG00000006607	403	232	285	251	270	179
ENSG00000006611	35	10	24	7	15	1
ENSG00000006625	121	339	143	318	170	481
ENSG00000006634	98	90	126	104	104	97
ENSG00000006638	53	98	26	81	46	56
ENSG00000006652	192	200	180	228	164	160
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	170	100	133	123	146	143
ENSG00000006704	462	848	395	731	342	752
ENSG00000006712	767	678	677	629	632	775
ENSG00000006715	771	527	493	547	547	669
ENSG00000006740	557	429	315	352	206	387
ENSG00000006744	875	882	796	763	754	771
ENSG00000006747	30	54	18	87	66	52
ENSG00000006756	1073	591	548	836	715	886
ENSG00000006757	323	120	197	186	286	221
ENSG00000006788	0	1	1	1	1	1
ENSG00000006831	1186	534	724	636	778	598
ENSG00000006837	18	16	18	18	21	20
ENSG00000007001	26	8	14	16	4	8
ENSG00000007038	42	6	12	16	16	35
ENSG00000007047	448	349	328	408	312	515
ENSG00000007062	92	20	132	24	93	7
ENSG00000007080	431	481	502	498	626	631
ENSG00000007129	0	0	0	1	0	1
ENSG00000007168	1756	1139	1236	1230	1047	1269
ENSG00000007171	10	10	4	17	4	8
ENSG00000007174	23	28	48	12	15	3
ENSG00000007202	1326	859	684	812	746	1015
ENSG00000007216	2	0	1	0	1	0
ENSG00000007237	360	292	259	275	331	387
